Jan 01	7.91	150.83
Jan 06	8.21	150.17
Jan 11	8.69	149.49
Jan 16	9.36	148.79
Jan 21	10.2	148.10
Jan 26	11.21	147.42
Jan 31	12.37	146.75
Feb 05	13.69	146.12
Feb 10	15.13	145.51
Feb 15	16.7	144.94
Feb 20	18.37	144.40
Feb 25	20.13	143.89
Mar 01	21.97	143.40
Mar 06	23.86	142.95
Mar 11	25.8	142.51
Mar 16	27.76	142.09
Mar 21	29.74	141.67
Mar 26	31.71	141.25
Mar 31	33.65	140.82
Apr 05	35.56	140.37
Apr 10	37.42	139.90
Apr 15	39.21	139.39
Apr 20	40.93	138.84
Apr 25	42.54	138.24
Apr 30	44.05	137.60
May 05	45.44	136.91
May 10	46.69	136.19
May 15	47.81	135.43
May 20	48.77	134.65
May 25	49.58	133.87
May 30	50.22	133.11
Jun 04	50.71	132.39
Jun 09	51.03	131.74
Jun 14	51.19	131.17
Jun 19	51.19	130.72
Jun 24	51.04	130.40
Jun 29	50.75	130.22
July 04	50.31	130.21
July 09	49.75	130.36
July 14	49.07	130.68
July 19	48.27	131.15
July 24	47.36	131.78
July 29	46.36	132.56
Aug 03	45.26	133.46
Aug 08	44.08	134.48
Aug 13	42.82	135.59
Aug 18	41.49	136.77
Aug 23	40.08	138.02
Aug 28	38.62	139.31
Sep 02	37.09	140.63
Sep 07	35.52	141.95
Sep 12	33.91	143.26
Sep 17	32.25	144.54
Sep 22	30.57	145.78
Sep 27	28.86	146.97
Oct 02	27.15	148.10
Oct 07	25.44	149.15
Oct 12	23.73	150.11
Oct 17	22.04	150.97
Oct 22	20.39	151.73
Oct 27	18.78	152.38
Nov 01	17.23	152.92
Nov 06	15.75	153.34
Nov 11	14.36	153.63
Nov 16	13.06	153.81
Nov 21	11.88	153.87
Nov 26	10.83	153.82
Dec 01	9.92	153.66
Dec 06	9.16	153.39
Dec 11	8.55	153.03
Dec 16	8.12	152.59
Dec 21	7.86	152.07
Dec 26	7.79	151.49
Dec 31	7.9	150.86
