Jan 01	-58.4	356.98
Jan 06	-57.87	356.03
Jan 11	-57.15	355.20
Jan 16	-56.25	354.51
Jan 21	-55.19	353.98
Jan 26	-53.97	353.62
Jan 31	-52.62	353.41
Feb 05	-51.15	353.36
Feb 10	-49.58	353.45
Feb 15	-47.91	353.66
Feb 20	-46.16	353.96
Feb 25	-44.34	354.35
Mar 01	-42.47	354.80
Mar 06	-40.56	355.30
Mar 11	-38.62	355.83
Mar 16	-36.66	356.37
Mar 21	-34.7	356.90
Mar 26	-32.74	357.42
Mar 31	-30.81	357.91
Apr 05	-28.91	358.37
Apr 10	-27.06	358.79
Apr 15	-25.26	359.15
Apr 20	-23.53	359.46
Apr 25	-21.89	359.71
Apr 30	-20.33	359.89
May 05	-18.88	0.02
May 10	-17.55	0.08
May 15	-16.34	0.08
May 20	-15.27	0.02
May 25	-14.34	359.92
May 30	-13.56	359.76
Jun 04	-12.94	359.57
Jun 09	-12.48	359.35
Jun 14	-12.19	359.11
Jun 19	-12.07	358.86
Jun 24	-12.12	358.60
Jun 29	-12.34	358.36
July 04	-12.73	358.13
July 09	-13.29	357.94
July 14	-14	357.77
July 19	-14.86	357.66
July 24	-15.87	357.59
July 29	-17.02	357.58
Aug 03	-18.29	357.63
Aug 08	-19.68	357.75
Aug 13	-21.18	357.93
Aug 18	-22.77	358.17
Aug 23	-24.45	358.47
Aug 28	-26.2	358.83
Sep 02	-28.01	359.25
Sep 07	-29.87	359.72
Sep 12	-31.77	0.23
Sep 17	-33.69	0.77
Sep 22	-35.63	1.33
Sep 27	-37.56	1.91
Oct 02	-39.49	2.48
Oct 07	-41.4	3.04
Oct 12	-43.27	3.56
Oct 17	-45.1	4.03
Oct 22	-46.87	4.43
Oct 27	-48.57	4.75
Nov 01	-50.19	4.96
Nov 06	-51.71	5.05
Nov 11	-53.13	4.99
Nov 16	-54.42	4.78
Nov 21	-55.57	4.40
Nov 26	-56.57	3.85
Dec 01	-57.41	3.15
Dec 06	-58.07	2.30
Dec 11	-58.54	1.33
Dec 16	-58.81	0.28
Dec 21	-58.88	359.18
Dec 26	-58.75	358.08
Dec 31	-58.42	357.04
